编号,最终文件名,系列,底图变体,材质/纹理,印章素材,手写素材,小物件1,小物件2,纸张痕迹,滤镜,传奇特征,稀有度,图片是否生成,metadata是否生成,是否通过规则校验,需要人工复查,备注
NRA-0020,NRA_0020_MidnightDiner_B03_VAR_07_NO_REFUNDS.png,Midnight Diner,B03_VAR_07,,STAMP_NO_REFUNDS,NOTE_BOOTH_4,PROP_VINTAGE_COIN_01,PROP_VINTAGE_COIN_02,DMG_FOLD_03,OVERLAY_SCAN_NOISE_01,,Common,是,是,是,待人工确认,Batch 0100 v2 - Midnight Diner #4 [Common]
NRA-0021,NRA_0021_Lucky8GasMotel_B08_VAR_04_PAID_CASH.png,Lucky 8 Gas & Motel,B08_VAR_04,,STAMP_PAID_CASH,NOTE_PAID_CASH,PROP_OLD_KEY_01,PROP_OLD_KEY_02,DMG_FOLD_02,OVERLAY_SCAN_NOISE_01,,Common,是,是,是,待人工确认,Batch 0100 v2 - Lucky 8 Gas & Motel #2 [Common]
NRA-0022,NRA_0022_SunsetMart_B04_VAR_07_FINAL_SALE.png,Sunset Mart,B04_VAR_07,,STAMP_FINAL_SALE,NOTE_512PM,PROP_VINTAGE_COIN_01,PROP_ENVELOPE_CORNER_01,DMG_EDGE_WEAR_01,OVERLAY_ARCHIVE_YELLOWING_01,,Common,是,是,是,待人工确认,Batch 0100 v2 - Sunset Mart #1 [Common]
NRA-0023,NRA_0023_SunsetMart_B07_VAR_03_CLOSED.png,Sunset Mart,B07_VAR_03,,STAMP_CLOSED,NOTE_REGISTER_2,PROP_SUGAR_PACKET_01,PROP_CANDY_WRAPPER_01,DMG_FOLD_01,OVERLAY_ARCHIVE_YELLOWING_01,,Common,是,是,是,待人工确认,Batch 0100 v2 - Sunset Mart #2 [Common]
NRA-0024,NRA_0024_SunsetMart_B04_VAR_01_REDEEMED_GOLD.png,Sunset Mart,B04_VAR_01,PAT_SNAKESKIN_01,STAMP_REDEEMED_GOLD,NOTE_LAST_SHIFT,PROP_ENVELOPE_CORNER_01,PROP_VINTAGE_COIN_02,DMG_WATER_STAIN_01,OVERLAY_SCAN_NOISE_02,OVERLAY_GOLD_DUST_01,Legendary,是,是,是,待人工确认,Batch 0100 v2 - Sunset Mart #3 [Legendary]
NRA-0025,NRA_0025_SideBRecords_B01_VAR_02_LAST_COPY.png,Side B Records,B01_VAR_02,,STAMP_LAST_COPY,NOTE_A_SIDE_GONE,PROP_PHOTOGRAPH_CORNER_01,PROP_VINTAGE_COIN_01,DMG_CORNER_CURL_01,OVERLAY_SCAN_NOISE_02,,Uncommon,是,是,是,待人工确认,Batch 0100 v2 - Side B Records #7 [Uncommon]
NRA-0026,NRA_0026_NightOwlVideo_B05_VAR_03_NO_REFUNDS.png,Night Owl Video,B05_VAR_03,,STAMP_NO_REFUNDS,NOTE_TAPE_12,PROP_VINTAGE_LIGHTER_01,PROP_VINTAGE_COIN_02,DMG_FOLD_03,OVERLAY_DUST_02,,Common,是,是,是,待人工确认,Batch 0100 v2 - Night Owl Video #7 [Common]
NRA-0027,NRA_0027_SunsetMart_B07_VAR_01_NO_REFUNDS.png,Sunset Mart,B07_VAR_01,,STAMP_NO_REFUNDS,NOTE_512PM,PROP_SMALL_BOTTLE_01,PROP_PLASTIC_STRAW_01,DMG_WATER_STAIN_01,OVERLAY_ARCHIVE_YELLOWING_01,,Uncommon,是,是,是,待人工确认,Batch 0100 v2 - Sunset Mart #4 [Uncommon]
NRA-0028,NRA_0028_SideBRecords_B06_VAR_07_FINAL_SALE.png,Side B Records,B06_VAR_07,,STAMP_FINAL_SALE,NOTE_LAST_COPY,PROP_VINTAGE_SCISSORS_01,PROP_DICE_01,DMG_CORNER_CURL_01,OVERLAY_SCAN_NOISE_01,,Common,是,是,是,待人工确认,Batch 0100 v2 - Side B Records #8 [Common]
NRA-0029,NRA_0029_SideBRecords_B04_VAR_08_FINAL_SALE.png,Side B Records,B04_VAR_08,,STAMP_FINAL_SALE,NOTE_SIDE_B,PROP_DICE_01,PROP_COMPASS_01,DMG_FOLD_01,OVERLAY_FADED_INK_01,PROP_PEARL_TAG_01,Rare,是,是,是,待人工确认,Batch 0100 v2 - Side B Records #9 [Rare]
NRA-0030,NRA_0030_SunsetMart_B01_VAR_03_CLOSED.png,Sunset Mart,B01_VAR_03,,STAMP_CLOSED,NOTE_512PM,PROP_HAIR_CLIP_01,PROP_VINTAGE_COIN_03,DMG_EDGE_WEAR_02,OVERLAY_SCAN_NOISE_02,,Common,是,是,是,待人工确认,Batch 0100 v2 - Sunset Mart #5 [Common]
NRA-0031,NRA_0031_Lucky8GasMotel_B06_VAR_04_CLOSED.png,Lucky 8 Gas & Motel,B06_VAR_04,,STAMP_CLOSED,NOTE_PAID_CASH,PROP_VINTAGE_COIN_02,PROP_VINTAGE_COIN_03,DMG_EDGE_WEAR_02,OVERLAY_DUST_02,,Common,是,是,是,待人工确认,Batch 0100 v2 - Lucky 8 Gas & Motel #3 [Common]
NRA-0032,NRA_0032_MidnightDiner_B08_VAR_03_NO_REFUNDS.png,Midnight Diner,B08_VAR_03,,STAMP_NO_REFUNDS,NOTE_LAST_NIGHT,PROP_DINER_CHECK_01,PROP_BOTTLE_OPENER_01,DMG_FOLD_02,OVERLAY_FILM_GRAIN_02,,Common,是,是,是,待人工确认,Batch 0100 v2 - Midnight Diner #5 [Common]
NRA-0033,NRA_0033_Lucky8GasMotel_B02_VAR_07_CLOSED.png,Lucky 8 Gas & Motel,B02_VAR_07,,STAMP_CLOSED,NOTE_ROOM_8,PROP_KEYCHAIN_01,PROP_VINTAGE_COIN_02,DMG_FOLD_02,OVERLAY_FILM_GRAIN_02,,Common,是,是,是,待人工确认,Batch 0100 v2 - Lucky 8 Gas & Motel #4 [Common]
NRA-0034,NRA_0034_SunsetMart_B04_VAR_06_CLOSED.png,Sunset Mart,B04_VAR_06,,STAMP_CLOSED,NOTE_LAST_SHIFT,PROP_PLASTIC_STRAW_01,PROP_HAIR_CLIP_01,DMG_COFFEE_RING_01,OVERLAY_FILM_GRAIN_02,,Uncommon,是,是,是,待人工确认,Batch 0100 v2 - Sunset Mart #6 [Uncommon]
NRA-0035,NRA_0035_Lucky8GasMotel_B04_VAR_04_PAID_CASH.png,Lucky 8 Gas & Motel,B04_VAR_04,,STAMP_PAID_CASH,NOTE_PAID_CASH,PROP_VINTAGE_COIN_01,PROP_VINTAGE_COIN_03,DMG_FOLD_01,OVERLAY_SCAN_NOISE_02,,Uncommon,是,是,是,待人工确认,Batch 0100 v2 - Lucky 8 Gas & Motel #5 [Uncommon]
NRA-0036,NRA_0036_SideBRecords_B02_VAR_03_FINAL_SALE.png,Side B Records,B02_VAR_03,,STAMP_FINAL_SALE,NOTE_LAST_COPY,PROP_VINTAGE_COIN_03,PROP_PRICE_STICKER_01,DMG_TAPE_01,OVERLAY_DUST_02,,Common,是,是,是,待人工确认,Batch 0100 v2 - Side B Records #10 [Common]
NRA-0037,NRA_0037_Lucky8GasMotel_B01_VAR_06_1_OF_1_GOLD.png,Lucky 8 Gas & Motel,B01_VAR_06,PAT_IRIDESCENT_WAVE_01,STAMP_1_OF_1_GOLD,NOTE_ROOM_8,PROP_NEWSPAPER_CLIP_01,PROP_OLD_KEY_01,DMG_SMALL_TEAR_01,OVERLAY_SOFT_VIGNETTE_01,OVERLAY_IRIDESCENT_GLOW_01,Legendary,是,是,是,待人工确认,Batch 0100 v2 - Lucky 8 Gas & Motel #6 [Legendary]
NRA-0038,NRA_0038_Lucky8GasMotel_B06_VAR_02_PAID_CASH.png,Lucky 8 Gas & Motel,B06_VAR_02,,STAMP_PAID_CASH,NOTE_PAID_CASH,PROP_CIGARETTE_02,PROP_MATCHBOOK_MOTEL_01,DMG_SMALL_TEAR_01,OVERLAY_DUST_01,,Common,是,是,是,待人工确认,Batch 0100 v2 - Lucky 8 Gas & Motel #7 [Common]
NRA-0039,NRA_0039_MidnightDiner_B05_VAR_06_LAST_ORDER.png,Midnight Diner,B05_VAR_06,,STAMP_LAST_ORDER,NOTE_BOOTH_4,PROP_WHISKEY_BOTTLE_01,PROP_DINER_CHECK_01,DMG_EDGE_WEAR_01,OVERLAY_SCAN_NOISE_01,PROP_DIAMOND_CLIP_01,Rare,是,是,是,待人工确认,Batch 0100 v2 - Midnight Diner #6 [Rare]
NRA-0040,NRA_0040_TokenPawn_B05_VAR_05_UNCLAIMED.png,Token Pawn,B05_VAR_05,,STAMP_UNCLAIMED,NOTE_HOLD_TAG,PROP_VINTAGE_RING_02,PROP_VINTAGE_COIN_01,DMG_FOLD_01,OVERLAY_SCAN_NOISE_01,,Common,是,是,是,待人工确认,Batch 0100 v2 - Token Pawn #4 [Common]
NRA-0041,NRA_0041_MidnightDiner_B06_VAR_01_NO_REFUNDS.png,Midnight Diner,B06_VAR_01,,STAMP_NO_REFUNDS,NOTE_BOOTH_4,PROP_BOTTLE_OPENER_01,PROP_CLOTH_NAPKIN_01,DMG_EDGE_WEAR_02,OVERLAY_SOFT_VIGNETTE_01,,Common,是,是,是,待人工确认,Batch 0100 v2 - Midnight Diner #7 [Common]
NRA-0042,NRA_0042_SunsetMart_B04_VAR_06_NO_REFUNDS.png,Sunset Mart,B04_VAR_06,,STAMP_NO_REFUNDS,NOTE_LAST_SHIFT,PROP_SUGAR_PACKET_01,PROP_PLASTIC_STRAW_01,DMG_THERMAL_FADE_01,OVERLAY_DUST_02,,Common,是,是,是,待人工确认,Batch 0100 v2 - Sunset Mart #7 [Common]
NRA-0043,NRA_0043_MidnightDiner_B06_VAR_06_CLOSED.png,Midnight Diner,B06_VAR_06,,STAMP_CLOSED,NOTE_1138PM,PROP_VINTAGE_COIN_02,PROP_VINTAGE_COIN_03,DMG_THERMAL_FADE_01,OVERLAY_SCAN_NOISE_02,,Common,是,是,是,待人工确认,Batch 0100 v2 - Midnight Diner #8 [Common]
NRA-0044,NRA_0044_SunsetMart_B01_VAR_03_FINAL_SALE.png,Sunset Mart,B01_VAR_03,,STAMP_FINAL_SALE,NOTE_FINAL_SALE,PROP_SMALL_BOTTLE_01,PROP_PLASTIC_STRAW_01,DMG_THERMAL_FADE_01,OVERLAY_ARCHIVE_YELLOWING_01,,Common,是,是,是,待人工确认,Batch 0100 v2 - Sunset Mart #8 [Common]
NRA-0045,NRA_0045_SideBRecords_B04_VAR_03_FINAL_SALE.png,Side B Records,B04_VAR_03,,STAMP_FINAL_SALE,NOTE_TRACK_07,PROP_FOUNTAIN_PEN_01,PROP_VINTAGE_PEN_02,DMG_FOLD_02,OVERLAY_DUST_01,,Common,是,是,是,待人工确认,Batch 0100 v2 - Side B Records #11 [Common]
NRA-0046,NRA_0046_TokenPawn_B03_VAR_06_UNCLAIMED.png,Token Pawn,B03_VAR_06,PAT_GOLD_FLECK_01,STAMP_UNCLAIMED,NOTE_30_DAYS,PROP_PADLOCK_01,PROP_VINTAGE_COIN_02,DMG_FOLD_03,OVERLAY_FILM_GRAIN_02,,Uncommon,是,是,是,待人工确认,Batch 0100 v2 - Token Pawn #5 [Uncommon]
NRA-0047,NRA_0047_NightOwlVideo_B05_VAR_04_NO_REFUNDS.png,Night Owl Video,B05_VAR_04,,STAMP_NO_REFUNDS,NOTE_DUE_FRIDAY,PROP_REWIND_STICKER_01,PROP_VINTAGE_COIN_01,DMG_SCAN_NOISE_01,OVERLAY_FADED_INK_01,,Uncommon,是,是,是,待人工确认,Batch 0100 v2 - Night Owl Video #8 [Uncommon]
NRA-0048,NRA_0048_NightOwlVideo_B08_VAR_01_OVERDUE.png,Night Owl Video,B08_VAR_01,PAT_HOLO_GRID_01,STAMP_OVERDUE,NOTE_DUE_FRIDAY,PROP_ZIPPO_LIGHTER_01,PROP_MAGNIFYING_GLASS_01,DMG_SCAN_NOISE_02,OVERLAY_DUST_02,,Uncommon,是,是,是,待人工确认,Batch 0100 v2 - Night Owl Video #9 [Uncommon]
NRA-0049,NRA_0049_TokenPawn_B03_VAR_04_UNCLAIMED.png,Token Pawn,B03_VAR_04,,STAMP_UNCLAIMED,NOTE_HOLD_TAG,PROP_PADLOCK_01,PROP_POCKET_WATCH_01,DMG_EDGE_WEAR_01,OVERLAY_FILM_GRAIN_02,,Common,是,是,是,待人工确认,Batch 0100 v2 - Token Pawn #6 [Common]
NRA-0050,NRA_0050_Lucky8GasMotel_B04_VAR_02_CLOSED.png,Lucky 8 Gas & Motel,B04_VAR_02,,STAMP_CLOSED,NOTE_EXIT_22,PROP_VINTAGE_COIN_03,PROP_NEWSPAPER_CLIP_01,DMG_WATER_STAIN_03,OVERLAY_DUST_01,,Common,是,是,是,待人工确认,Batch 0100 v2 - Lucky 8 Gas & Motel #8 [Common]
NRA-0051,NRA_0051_TokenPawn_B03_VAR_07_VAULTED_GOLD.png,Token Pawn,B03_VAR_07,PAT_LEOPARD_01,STAMP_VAULTED_GOLD,NOTE_CLAIM_BY_5,PROP_PADLOCK_01,PROP_VINTAGE_BUTTON_02,DMG_EDGE_WEAR_01,OVERLAY_FILM_GRAIN_02,OVERLAY_ULTRA_RARE_SHIMMER_01;PROP_DIAMOND_CLIP_01,Ultra Rare,是,是,是,待人工确认,Batch 0100 v2 - Token Pawn #7 [Ultra Rare]
NRA-0052,NRA_0052_TokenPawn_B06_VAR_03_PAWN_HOLD.png,Token Pawn,B06_VAR_03,,STAMP_PAWN_HOLD,NOTE_30_DAYS,PROP_POCKET_WATCH_01,PROP_OLD_KEY_01,DMG_DUST_SPECKS_01,OVERLAY_SCAN_NOISE_02,,Common,是,是,是,待人工确认,Batch 0100 v2 - Token Pawn #8 [Common]
NRA-0053,NRA_0053_Lucky8GasMotel_B04_VAR_05_NO_VACANCY.png,Lucky 8 Gas & Motel,B04_VAR_05,,STAMP_NO_VACANCY,NOTE_1138PM,PROP_NEWSPAPER_CLIP_01,PROP_MATCHBOOK_MOTEL_01,DMG_FOLD_01,OVERLAY_SOFT_VIGNETTE_01,,Common,是,是,是,待人工确认,Batch 0100 v2 - Lucky 8 Gas & Motel #9 [Common]
NRA-0054,NRA_0054_MidnightDiner_B03_VAR_05_NO_REFUNDS.png,Midnight Diner,B03_VAR_05,,STAMP_NO_REFUNDS,NOTE_LAST_ORDER,PROP_SHOT_GLASS_01,PROP_COFFEE_STIRRER_01,DMG_FOLD_02,OVERLAY_FILM_GRAIN_02,,Common,是,是,是,待人工确认,Batch 0100 v2 - Midnight Diner #9 [Common]
NRA-0055,NRA_0055_Lucky8GasMotel_B07_VAR_05_ROOM_PAID.png,Lucky 8 Gas & Motel,B07_VAR_05,,STAMP_ROOM_PAID,NOTE_EXIT_22,PROP_VINTAGE_COIN_01,PROP_CIGARETTE_01,DMG_WATER_STAIN_01,OVERLAY_SCAN_NOISE_01,,Common,是,是,是,待人工确认,Batch 0100 v2 - Lucky 8 Gas & Motel #10 [Common]
NRA-0056,NRA_0056_TokenPawn_B07_VAR_02_UNCLAIMED.png,Token Pawn,B07_VAR_02,,STAMP_UNCLAIMED,NOTE_30_DAYS,PROP_OLD_KEY_03,PROP_PADLOCK_01,DMG_CORNER_CURL_01,OVERLAY_DUST_01,,Common,是,是,是,待人工确认,Batch 0100 v2 - Token Pawn #9 [Common]
NRA-0057,NRA_0057_Lucky8GasMotel_B06_VAR_03_CLOSED.png,Lucky 8 Gas & Motel,B06_VAR_03,,STAMP_CLOSED,NOTE_NO_VACANCY,PROP_KEYCHAIN_01,PROP_OLD_KEY_01,DMG_FOLD_01,OVERLAY_FILM_GRAIN_02,,Common,是,是,是,待人工确认,Batch 0100 v2 - Lucky 8 Gas & Motel #11 [Common]
NRA-0058,NRA_0058_Lucky8GasMotel_B01_VAR_06_CLOSED.png,Lucky 8 Gas & Motel,B01_VAR_06,,STAMP_CLOSED,NOTE_ROOM_8,PROP_ASHTRAY_01,PROP_OLD_KEY_02,DMG_EDGE_WEAR_02,OVERLAY_SCAN_NOISE_02,,Uncommon,是,是,是,待人工确认,Batch 0100 v2 - Lucky 8 Gas & Motel #12 [Uncommon]
NRA-0059,NRA_0059_TokenPawn_B02_VAR_08_CLAIM_CLOSED.png,Token Pawn,B02_VAR_08,,STAMP_CLAIM_CLOSED,NOTE_UNCLAIMED,PROP_CHAIN_FRAGMENT_01,PROP_PADLOCK_01,DMG_TAPE_01,OVERLAY_SCAN_NOISE_01,,Common,是,是,是,待人工确认,Batch 0100 v2 - Token Pawn #10 [Common]
NRA-0060,NRA_0060_NightOwlVideo_B01_VAR_05_DO_NOT_OPEN.png,Night Owl Video,B01_VAR_05,,STAMP_DO_NOT_OPEN,NOTE_REWIND,PROP_REWIND_STICKER_01,PROP_VINYL_LABEL_01,DMG_THERMAL_FADE_01,OVERLAY_DUST_02,,Uncommon,是,是,是,待人工确认,Batch 0100 v2 - Night Owl Video #10 [Uncommon]
NRA-0061,NRA_0061_TokenPawn_B06_VAR_05_UNCLAIMED.png,Token Pawn,B06_VAR_05,,STAMP_UNCLAIMED,NOTE_30_DAYS,PROP_VINTAGE_RING_02,PROP_OLD_KEY_02,DMG_EDGE_WEAR_02,OVERLAY_ARCHIVE_YELLOWING_01,,Common,是,是,是,待人工确认,Batch 0100 v2 - Token Pawn #11 [Common]
NRA-0062,NRA_0062_SideBRecords_B01_VAR_05_STORE_CREDIT.png,Side B Records,B01_VAR_05,,STAMP_STORE_CREDIT,NOTE_A_SIDE_GONE,PROP_VINTAGE_COIN_03,PROP_PRICE_STICKER_01,DMG_CORNER_CURL_01,OVERLAY_FADED_INK_01,,Common,是,是,是,待人工确认,Batch 0100 v2 - Side B Records #12 [Common]
NRA-0063,NRA_0063_SideBRecords_B01_VAR_07_STORE_CREDIT.png,Side B Records,B01_VAR_07,,STAMP_STORE_CREDIT,NOTE_SIDE_B,PROP_FOUNTAIN_PEN_01,PROP_VINTAGE_PEN_01,DMG_FOLD_02,OVERLAY_FILM_GRAIN_01,,Common,是,是,是,待人工确认,Batch 0100 v2 - Side B Records #13 [Common]
NRA-0064,NRA_0064_NightOwlVideo_B05_VAR_04_CHECKED_OUT.png,Night Owl Video,B05_VAR_04,,STAMP_CHECKED_OUT,NOTE_REWIND,PROP_VINTAGE_LIGHTER_01,PROP_VINTAGE_COIN_01,DMG_SCAN_NOISE_02,OVERLAY_FADED_INK_01,,Uncommon,是,是,是,待人工确认,Batch 0100 v2 - Night Owl Video #11 [Uncommon]
NRA-0065,NRA_0065_NightOwlVideo_B06_VAR_08_DO_NOT_OPEN.png,Night Owl Video,B06_VAR_08,MAT_TRANSPARENT_RECEIPT_01,STAMP_DO_NOT_OPEN,NOTE_DUE_FRIDAY,PROP_VINTAGE_COIN_02,PROP_VINTAGE_COIN_01,DMG_TAPE_02,OVERLAY_FILM_GRAIN_02,,Uncommon,是,是,是,待人工确认,Batch 0100 v2 - Night Owl Video #12 [Uncommon]
NRA-0066,NRA_0066_SideBRecords_B06_VAR_10_FINAL_SALE.png,Side B Records,B06_VAR_10,,STAMP_FINAL_SALE,NOTE_STORE_CREDIT,PROP_VINTAGE_SCISSORS_01,PROP_FOUNTAIN_PEN_01,DMG_FOLD_01,OVERLAY_FILM_GRAIN_02,,Common,是,是,是,待人工确认,Batch 0100 v2 - Side B Records #14 [Common]
NRA-0067,NRA_0067_TokenPawn_B02_VAR_02_CLAIM_CLOSED.png,Token Pawn,B02_VAR_02,,STAMP_CLAIM_CLOSED,NOTE_HOLD_TAG,PROP_VINTAGE_BUTTON_01,PROP_POCKET_WATCH_01,DMG_SMALL_TEAR_01,OVERLAY_ARCHIVE_YELLOWING_01,,Uncommon,是,是,是,待人工确认,Batch 0100 v2 - Token Pawn #12 [Uncommon]
NRA-0068,NRA_0068_MidnightDiner_B03_VAR_03_LAST_ORDER.png,Midnight Diner,B03_VAR_03,,STAMP_LAST_ORDER,NOTE_1138PM,PROP_CLOTH_NAPKIN_01,PROP_SHOT_GLASS_01,DMG_EDGE_WEAR_02,OVERLAY_ARCHIVE_YELLOWING_01,,Common,是,是,是,待人工确认,Batch 0100 v2 - Midnight Diner #10 [Common]
